,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.6629,0.1159,54.2414,4.5761,0.263,0.0228,-10.962
1,SDSSXCS-10401,0.6305,0.1155,54.2879,4.4916,0.2591,0.0226,-12.302
2,SDSSXCS-110,0.6575,0.1143,53.7661,4.4758,0.2603,0.0226,-11.9
3,SDSSXCS-11154,0.6682,0.1166,54.3828,4.5534,0.2632,0.0228,-10.921
4,SDSSXCS-1131,0.6621,0.1151,54.5383,4.547,0.2618,0.0226,-11.398
5,SDSSXCS-11331,0.6612,0.1167,54.3903,4.5521,0.2635,0.0228,-10.812
6,SDSSXCS-11881,0.6497,0.115,54.4998,4.5366,0.2606,0.0225,-11.774
7,SDSSXCS-123,0.662,0.116,54.484,4.6062,0.2634,0.0229,-10.826
8,SDSSXCS-124,0.656,0.1161,54.0792,4.5903,0.2631,0.0229,-10.938
9,SDSSXCS-13,0.6654,0.1167,54.5497,4.6325,0.263,0.0228,-10.989
10,SDSSXCS-134,0.6586,0.1162,54.2212,4.6084,0.2634,0.0228,-10.831
11,SDSSXCS-147,0.655,0.1157,53.9852,4.5605,0.2626,0.0228,-11.105
12,SDSSXCS-15,0.6674,0.1162,54.7056,4.6244,0.2629,0.0228,-11.017
13,SDSSXCS-155,0.6443,0.1142,53.3997,4.4452,0.2591,0.0226,-12.289
14,SDSSXCS-15984,0.6824,0.1149,54.2781,4.484,0.2595,0.0225,-12.152
15,SDSSXCS-1628,0.6609,0.1157,54.3717,4.5661,0.2633,0.0228,-10.861
16,SDSSXCS-16286,0.6312,0.116,54.2152,4.4847,0.2598,0.0224,-12.057
17,SDSSXCS-1645,0.6667,0.1146,54.0451,4.4971,0.261,0.0226,-11.656
18,SDSSXCS-165,0.6626,0.1154,54.5606,4.5882,0.263,0.0228,-10.968
19,SDSSXCS-176,0.6637,0.1153,54.6453,4.5901,0.2629,0.0228,-11.001
20,SDSSXCS-1884,0.6595,0.1154,54.4939,4.5697,0.2629,0.0228,-10.995
21,SDSSXCS-189,0.6502,0.1151,53.685,4.5034,0.2611,0.0226,-11.608
22,SDSSXCS-19,0.6586,0.1175,54.258,4.6399,0.2635,0.0229,-10.823
