,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
23,SDSSXCS-2,0.6536,0.1179,54.0782,4.6313,0.2633,0.0228,-10.869
24,SDSSXCS-2032,0.6609,0.1155,54.4317,4.5903,0.2635,0.0228,-10.814
25,SDSSXCS-209,0.6528,0.1153,53.8409,4.5302,0.2619,0.0227,-11.343
26,SDSSXCS-210,0.6797,0.1133,55.6064,4.5862,0.2562,0.0222,-13.268
27,SDSSXCS-212,0.664,0.1155,54.6997,4.6285,0.2626,0.0228,-11.102
28,SDSSXCS-22,0.7049,0.1083,56.8456,4.4877,0.2421,0.0217,-18.051
29,SDSSXCS-226,0.6538,0.1154,53.8605,4.5303,0.2619,0.0227,-11.339
30,SDSSXCS-2282,0.6376,0.1139,54.6113,4.4778,0.2569,0.0224,-13.033
31,SDSSXCS-2288,0.663,0.1155,54.2006,4.5518,0.263,0.0227,-10.978
32,SDSSXCS-23,0.655,0.1157,54.4977,4.5716,0.2626,0.0228,-11.113
33,SDSSXCS-2347,0.6635,0.1157,54.3753,4.563,0.2633,0.0228,-10.881
34,SDSSXCS-236,0.6615,0.1156,54.424,4.5887,0.2634,0.0228,-10.826
35,SDSSXCS-239,0.6583,0.1159,54.1883,4.586,0.2631,0.0228,-10.946
36,SDSSXCS-2789,0.6784,0.1148,54.1602,4.4965,0.259,0.0225,-12.336
37,SDSSXCS-2836,0.6788,0.116,54.3676,4.5244,0.2613,0.0226,-11.557
38,SDSSXCS-286,0.6533,0.1155,53.8741,4.5376,0.262,0.0227,-11.316
39,SDSSXCS-29,0.6446,0.1165,53.6163,4.562,0.2619,0.0227,-11.34
40,SDSSXCS-290,0.6722,0.1151,55.072,4.6252,0.2613,0.0227,-11.54
41,SDSSXCS-298,0.6621,0.1157,54.5101,4.5915,0.2633,0.0228,-10.862
42,SDSSXCS-309,0.6648,0.115,54.791,4.6063,0.2622,0.0228,-11.239
43,SDSSXCS-31,0.6495,0.1165,53.8283,4.5694,0.2626,0.0228,-11.128
44,SDSSXCS-314,0.6606,0.1156,54.2934,4.5902,0.2635,0.0229,-10.818
45,SDSSXCS-32,0.6702,0.1152,54.9418,4.6224,0.2618,0.0227,-11.398
46,SDSSXCS-325,0.6631,0.1147,54.8913,4.586,0.2611,0.0227,-11.621
47,SDSSXCS-3312,0.6629,0.1156,54.3668,4.5549,0.2624,0.0227,-11.192
48,SDSSXCS-34,0.6672,0.118,54.4311,4.5742,0.2632,0.0227,-10.894
49,SDSSXCS-3672,0.6575,0.1156,54.5282,4.5793,0.2627,0.0228,-11.063
50,SDSSXCS-382,0.6635,0.1154,54.1922,4.5589,0.2629,0.0228,-11.025
51,SDSSXCS-395,0.6653,0.1156,54.713,4.6353,0.2629,0.0228,-10.994
52,SDSSXCS-4003,0.6674,0.1165,54.3764,4.5678,0.2632,0.0228,-10.922
53,SDSSXCS-41,0.6664,0.1177,54.5996,4.6742,0.2635,0.0228,-10.807
54,SDSSXCS-455,0.6587,0.1158,54.1593,4.5791,0.2631,0.0228,-10.935
55,SDSSXCS-457,0.6649,0.1152,54.1725,4.541,0.2624,0.0228,-11.18
56,SDSSXCS-487,0.648,0.1155,53.6865,4.519,0.2617,0.0227,-11.402
57,SDSSXCS-5,0.6961,0.1158,55.8784,4.6993,0.2585,0.0226,-12.498
58,SDSSXCS-5020,0.6694,0.1161,54.3686,4.5356,0.2623,0.0227,-11.201
59,SDSSXCS-51,0.6623,0.1166,54.4296,4.6234,0.2634,0.0228,-10.833
60,SDSSXCS-5159,0.6897,0.1158,54.4884,4.5152,0.2596,0.0224,-12.137
61,SDSSXCS-5225,0.6569,0.1161,54.4497,4.5584,0.2629,0.0227,-11.02
62,SDSSXCS-55,0.6601,0.1161,54.3102,4.6035,0.2635,0.0228,-10.819
63,SDSSXCS-5527,0.6627,0.1164,54.3731,4.5645,0.2631,0.0228,-10.934
64,SDSSXCS-572,0.662,0.1159,54.461,4.6006,0.2635,0.0228,-10.824
65,SDSSXCS-574,0.6625,0.1159,54.2169,4.5581,0.263,0.0228,-10.972
66,SDSSXCS-575,0.6618,0.1159,54.4028,4.5808,0.2635,0.0229,-10.811
67,SDSSXCS-5830,0.6322,0.1159,54.2909,4.4935,0.2596,0.0225,-12.145
68,SDSSXCS-586,0.6681,0.1138,55.2404,4.5762,0.2578,0.0223,-12.754
69,SDSSXCS-593,0.6592,0.1157,54.5822,4.5804,0.2627,0.0228,-11.07
70,SDSSXCS-6,0.6772,0.1179,55.0403,4.7099,0.2625,0.0228,-11.152
71,SDSSXCS-64824,0.6479,0.1173,54.2785,4.5365,0.2626,0.0227,-11.117
72,SDSSXCS-65,0.6455,0.1139,53.3816,4.443,0.2584,0.0225,-12.545
73,SDSSXCS-68,0.6574,0.1166,54.1851,4.6144,0.2634,0.0227,-10.85
74,SDSSXCS-6955,0.6297,0.1131,54.4916,4.4357,0.2552,0.0221,-13.63
75,SDSSXCS-71,0.6616,0.1161,54.4153,4.62,0.2635,0.0229,-10.799
76,SDSSXCS-7416,0.6422,0.1144,54.5404,4.5107,0.2591,0.0225,-12.295
77,SDSSXCS-7432,0.6524,0.1154,54.5746,4.5403,0.2615,0.0227,-11.469
78,SDSSXCS-75,0.6563,0.1157,54.1124,4.5602,0.2623,0.0227,-11.2
79,SDSSXCS-765,0.6603,0.1164,54.3511,4.5522,0.2632,0.0228,-10.914
80,SDSSXCS-7783,0.6633,0.1167,54.3635,4.5751,0.2635,0.0229,-10.801
81,SDSSXCS-78,0.6592,0.1156,54.2011,4.5806,0.2633,0.0228,-10.866
82,SDSSXCS-8060,0.7069,0.1145,54.5819,4.4496,0.255,0.0223,-13.695
83,SDSSXCS-890,0.663,0.1151,54.0925,4.5201,0.2621,0.0227,-11.292
84,SDSSXCS-893,0.6586,0.1138,53.6688,4.4462,0.2582,0.0224,-12.612
85,SDSSXCS-9,0.6869,0.1157,55.5703,4.6641,0.2596,0.0225,-12.133
86,SDSSXCS-907,0.6545,0.115,53.7925,4.5101,0.2611,0.0226,-11.615
87,SDSSXCS-9258,0.6512,0.1169,54.3366,4.5411,0.2628,0.0228,-11.054
88,SDSSXCS-9313,0.6715,0.1168,54.3767,4.5558,0.2629,0.0228,-11.014
89,SDSSXCS-944,0.6656,0.1152,54.2076,4.5334,0.2625,0.0227,-11.157
90,SDSSXCS-9803,0.6679,0.1169,54.4216,4.5552,0.2632,0.0228,-10.895
