dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-5159,1.934,0.1137,2.728,0.1337,0.1947,0.015,-13.49
SDSSXCS-5225,1.9938,0.1297,2.6171,0.1475,0.2242,0.017,-0.404
SDSSXCS-55,1.9708,0.1306,2.6433,0.1487,0.2264,0.0172,0.568
SDSSXCS-5527,1.9664,0.1295,2.6547,0.1495,0.2258,0.0171,0.338
SDSSXCS-572,1.9757,0.1297,2.6326,0.1484,0.2258,0.0171,0.332
SDSSXCS-574,1.9725,0.1296,2.6516,0.149,0.2259,0.0171,0.347
SDSSXCS-575,1.9694,0.1296,2.6485,0.1489,0.2262,0.0171,0.506
SDSSXCS-5830,1.9766,0.1317,2.638,0.1492,0.2261,0.0171,0.449
SDSSXCS-586,2.0113,0.1293,2.6043,0.1453,0.2225,0.0169,-1.144
SDSSXCS-593,1.9818,0.1306,2.6304,0.1484,0.2257,0.0171,0.299
SDSSXCS-6,1.965,0.1307,2.639,0.1483,0.226,0.0171,0.429
SDSSXCS-64824,1.9792,0.1315,2.6351,0.1494,0.226,0.0171,0.422
SDSSXCS-65,1.9741,0.1315,2.6438,0.1491,0.2262,0.0171,0.516
SDSSXCS-667,1.9634,0.1293,2.6314,0.1473,0.225,0.017,-0.046
SDSSXCS-68,1.9665,0.1309,2.6407,0.1483,0.2262,0.0171,0.498
SDSSXCS-6955,1.985,0.1305,2.6298,0.1484,0.2256,0.0171,0.22
SDSSXCS-71,1.9642,0.1291,2.6321,0.1475,0.2249,0.017,-0.087
SDSSXCS-7416,1.9851,0.1311,2.6306,0.1489,0.2257,0.0171,0.262
SDSSXCS-7432,1.985,0.1298,2.6245,0.1479,0.2251,0.0171,0.009
SDSSXCS-75,1.9957,0.1291,2.6502,0.1475,0.224,0.017,-0.456
SDSSXCS-765,1.9743,0.1291,2.632,0.1474,0.2254,0.017,0.143
SDSSXCS-7783,1.9787,0.1296,2.629,0.1473,0.2255,0.0171,0.173
SDSSXCS-78,1.9697,0.1302,2.6408,0.1485,0.2263,0.0171,0.542
SDSSXCS-8060,1.948,0.1243,2.6949,0.1446,0.215,0.0164,-4.484
SDSSXCS-852,1.9709,0.1297,2.6448,0.1489,0.2263,0.0171,0.553
SDSSXCS-890,1.9712,0.1298,2.6358,0.1485,0.226,0.0171,0.431
SDSSXCS-893,1.9817,0.1308,2.6487,0.1487,0.2255,0.0171,0.204
SDSSXCS-9,1.9728,0.1293,2.6403,0.1491,0.2262,0.0171,0.479
SDSSXCS-907,1.9695,0.1307,2.6415,0.1482,0.2263,0.0171,0.547
SDSSXCS-9258,1.9322,0.1297,2.6836,0.1498,0.2225,0.0168,-1.154
SDSSXCS-9313,1.9662,0.1302,2.6516,0.1496,0.2262,0.0171,0.481
SDSSXCS-944,1.9686,0.1297,2.6513,0.1496,0.2261,0.0171,0.439
SDSSXCS-9803,1.9767,0.1291,2.6286,0.1475,0.2253,0.0171,0.082
