,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.4109,0.0445,4.3751,0.2518,0.2163,0.0176,0.18
1,SDSSXCS-10401,0.3954,0.0447,4.4646,0.2557,0.2137,0.0175,-1.029
2,SDSSXCS-110,0.4079,0.0441,4.3681,0.2484,0.2149,0.0176,-0.488
3,SDSSXCS-11154,0.409,0.0445,4.4173,0.2534,0.2164,0.0177,0.224
4,SDSSXCS-1131,0.4083,0.0443,4.4028,0.2514,0.2162,0.0176,0.105
5,SDSSXCS-11331,0.4147,0.044,4.4276,0.2501,0.2132,0.0175,-1.29
6,SDSSXCS-1137,0.4143,0.0448,4.4127,0.2516,0.2161,0.0176,0.053
7,SDSSXCS-11881,0.4036,0.0445,4.4234,0.2531,0.2158,0.0175,-0.049
8,SDSSXCS-120,0.409,0.0446,4.3962,0.2526,0.2174,0.0178,0.667
9,SDSSXCS-123,0.4088,0.0444,4.4063,0.2532,0.2173,0.0177,0.621
10,SDSSXCS-124,0.4079,0.0445,4.3952,0.2514,0.2172,0.0177,0.583
11,SDSSXCS-13,0.4092,0.0445,4.3983,0.2511,0.2169,0.0176,0.43
12,SDSSXCS-134,0.4081,0.0446,4.3966,0.2512,0.2172,0.0177,0.598
13,SDSSXCS-137,0.41,0.0446,4.3875,0.2529,0.2172,0.0177,0.594
14,SDSSXCS-14,0.4113,0.0449,4.4029,0.2526,0.2172,0.0177,0.571
15,SDSSXCS-147,0.4072,0.0442,4.3778,0.2494,0.2158,0.0176,-0.06
16,SDSSXCS-15,0.4149,0.0447,4.36,0.2514,0.2158,0.0176,-0.082
17,SDSSXCS-155,0.4031,0.0439,4.3669,0.2467,0.2129,0.0174,-1.419
18,SDSSXCS-15984,0.4089,0.0445,4.3977,0.2521,0.2173,0.0178,0.607
19,SDSSXCS-1628,0.4124,0.0441,4.4226,0.2516,0.2149,0.0175,-0.477
20,SDSSXCS-16286,0.3991,0.0451,4.4409,0.2548,0.2156,0.0175,-0.148
21,SDSSXCS-1645,0.4101,0.0442,4.366,0.2496,0.2153,0.0176,-0.285
22,SDSSXCS-165,0.418,0.0448,4.3518,0.25,0.2156,0.0175,-0.153
23,SDSSXCS-176,0.4132,0.0449,4.3716,0.2523,0.2166,0.0177,0.307
24,SDSSXCS-1884,0.4082,0.0446,4.4064,0.2532,0.217,0.0177,0.477
25,SDSSXCS-189,0.4031,0.0443,4.3808,0.2491,0.2152,0.0175,-0.354
26,SDSSXCS-19,0.4073,0.0444,4.3853,0.2507,0.2167,0.0177,0.325
27,SDSSXCS-19467,0.41,0.0444,4.381,0.2504,0.2161,0.0175,0.073
28,SDSSXCS-2,0.4068,0.0451,4.395,0.2515,0.2172,0.0177,0.558
29,SDSSXCS-2032,0.4105,0.0444,4.4124,0.2526,0.2166,0.0177,0.299
30,SDSSXCS-209,0.4052,0.0445,4.3848,0.2515,0.2163,0.0177,0.154
31,SDSSXCS-21,0.4067,0.0443,4.3827,0.2505,0.2163,0.0177,0.182
32,SDSSXCS-210,0.4052,0.0442,4.4334,0.2538,0.2153,0.0175,-0.287
33,SDSSXCS-212,0.4093,0.0445,4.3947,0.2537,0.2172,0.0177,0.575
