,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.6589,0.1024,5.5183,0.3956,0.2458,0.0201,0.43
1,SDSSXCS-10401,0.6281,0.1029,5.525,0.3904,0.2419,0.0199,-1.127
2,SDSSXCS-110,0.6551,0.1023,5.482,0.392,0.2434,0.02,-0.521
3,SDSSXCS-11154,0.6638,0.1039,5.5321,0.3972,0.2461,0.0201,0.553
4,SDSSXCS-1131,0.657,0.1023,5.5407,0.3957,0.2448,0.0199,0.048
5,SDSSXCS-11331,0.6563,0.1037,5.5312,0.3969,0.2463,0.0201,0.638
6,SDSSXCS-1137,0.6579,0.103,5.5275,0.3987,0.2463,0.0201,0.643
7,SDSSXCS-11881,0.6472,0.1024,5.5423,0.3955,0.2439,0.0198,-0.324
8,SDSSXCS-120,0.6586,0.1028,5.5427,0.4008,0.2462,0.0201,0.602
9,SDSSXCS-123,0.6584,0.1027,5.5418,0.3986,0.2462,0.0201,0.595
10,SDSSXCS-124,0.6536,0.103,5.5084,0.3974,0.246,0.0201,0.512
11,SDSSXCS-13,0.6611,0.1032,5.5472,0.4018,0.2458,0.0201,0.45
12,SDSSXCS-134,0.6551,0.1035,5.5168,0.4007,0.2461,0.0201,0.587
13,SDSSXCS-137,0.6578,0.1025,5.5422,0.3978,0.2461,0.0201,0.589
14,SDSSXCS-14,0.6649,0.1043,5.5617,0.4066,0.246,0.0201,0.524
15,SDSSXCS-147,0.6526,0.1029,5.4993,0.3961,0.2455,0.0201,0.319
16,SDSSXCS-15,0.6623,0.1034,5.5591,0.4029,0.2457,0.0201,0.412
17,SDSSXCS-155,0.6441,0.1013,5.4509,0.3877,0.2423,0.0199,-0.993
18,SDSSXCS-15984,0.6772,0.1021,5.5238,0.391,0.2428,0.0199,-0.767
19,SDSSXCS-1628,0.6571,0.1035,5.5321,0.3983,0.2462,0.0202,0.627
20,SDSSXCS-16286,0.6302,0.1029,5.5186,0.392,0.243,0.0198,-0.714
21,SDSSXCS-1645,0.6635,0.1022,5.505,0.3929,0.2441,0.02,-0.252
22,SDSSXCS-165,0.6581,0.1026,5.5475,0.3996,0.2458,0.0201,0.456
23,SDSSXCS-176,0.6593,0.1026,5.5547,0.4,0.2457,0.0201,0.413
24,SDSSXCS-1884,0.655,0.1028,5.5415,0.398,0.2458,0.0201,0.453
25,SDSSXCS-189,0.6482,0.1026,5.474,0.3935,0.2441,0.02,-0.227
26,SDSSXCS-19,0.6554,0.1038,5.5224,0.4017,0.2462,0.0202,0.605
27,SDSSXCS-19467,0.6638,0.1029,5.5245,0.395,0.245,0.02,0.12
28,SDSSXCS-2,0.651,0.1048,5.5077,0.4027,0.2461,0.0201,0.571
29,SDSSXCS-2032,0.6577,0.1024,5.5401,0.3972,0.2461,0.0201,0.59
30,SDSSXCS-209,0.6505,0.1027,5.4858,0.3961,0.245,0.0201,0.131
31,SDSSXCS-21,0.6543,0.1036,5.5164,0.4002,0.2462,0.0201,0.612
32,SDSSXCS-210,0.6724,0.1005,5.6338,0.397,0.2396,0.0196,-2.092
33,SDSSXCS-212,0.6601,0.1027,5.5615,0.4007,0.2454,0.0202,0.298
34,SDSSXCS-22,0.6949,0.0963,5.7418,0.3851,0.2258,0.0191,-7.742
35,SDSSXCS-226,0.6516,0.1024,5.4881,0.3939,0.2449,0.02,0.101
36,SDSSXCS-2282,0.6345,0.1014,5.5498,0.3886,0.24,0.0197,-1.938
37,SDSSXCS-2288,0.6596,0.1027,5.5196,0.3974,0.2459,0.0201,0.504
38,SDSSXCS-23,0.65,0.1031,5.5392,0.3962,0.2454,0.0201,0.275
39,SDSSXCS-2347,0.6582,0.1029,5.5282,0.3962,0.2461,0.0201,0.571
40,SDSSXCS-236,0.6578,0.1029,5.536,0.3989,0.2462,0.0201,0.613
41,SDSSXCS-239,0.6557,0.1033,5.5189,0.3987,0.2459,0.0201,0.485
42,SDSSXCS-2789,0.6739,0.102,5.5129,0.3904,0.2422,0.0199,-1.018
43,SDSSXCS-2836,0.6729,0.1031,5.5301,0.3941,0.2444,0.02,-0.138
44,SDSSXCS-286,0.6507,0.1028,5.4876,0.3954,0.245,0.02,0.131
45,SDSSXCS-29,0.6434,0.1035,5.4674,0.3967,0.2448,0.0201,0.055
46,SDSSXCS-290,0.6666,0.1023,5.5914,0.4016,0.2442,0.02,-0.193
47,SDSSXCS-298,0.6584,0.1029,5.5448,0.4013,0.2461,0.0201,0.59
48,SDSSXCS-2984,0.6559,0.1034,5.532,0.3971,0.246,0.0201,0.521
49,SDSSXCS-3,0.6538,0.1043,5.5174,0.4025,0.2463,0.0201,0.635
50,SDSSXCS-309,0.6607,0.1026,5.569,0.4007,0.245,0.0201,0.115
51,SDSSXCS-31,0.6476,0.1034,5.4853,0.3971,0.2455,0.0201,0.328
52,SDSSXCS-314,0.6572,0.1031,5.5257,0.3998,0.2463,0.0201,0.647
53,SDSSXCS-32,0.6639,0.1027,5.5747,0.4017,0.2447,0.02,0.011
54,SDSSXCS-325,0.6578,0.1023,5.5758,0.4001,0.244,0.02,-0.305
55,SDSSXCS-3312,0.6589,0.1025,5.5306,0.3957,0.2452,0.02,0.184
56,SDSSXCS-34,0.6611,0.1048,5.5329,0.3969,0.2461,0.0201,0.58
57,SDSSXCS-3672,0.6538,0.1027,5.5462,0.3981,0.2455,0.0201,0.307
58,SDSSXCS-382,0.6591,0.1029,5.5152,0.3968,0.2457,0.0201,0.392
59,SDSSXCS-395,0.6606,0.1029,5.5587,0.4015,0.2456,0.0201,0.378
60,SDSSXCS-4003,0.6625,0.1034,5.5293,0.3954,0.246,0.0201,0.541
61,SDSSXCS-408,0.6574,0.103,5.5297,0.3987,0.2463,0.0201,0.647
62,SDSSXCS-41,0.6616,0.1043,5.5498,0.4055,0.2462,0.0201,0.599
63,SDSSXCS-43,0.6548,0.1036,5.5185,0.4015,0.2462,0.0202,0.628
64,SDSSXCS-455,0.655,0.1029,5.5122,0.3971,0.246,0.0201,0.512
65,SDSSXCS-457,0.6609,0.1028,5.5148,0.3958,0.2453,0.0201,0.262
66,SDSSXCS-480,0.6582,0.1026,5.5181,0.3979,0.246,0.0201,0.52
