dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-575,0.4352,0.0615,2.5408,0.2395,0.2374,0.0196,0.528
SDSSXCS-5830,0.4184,0.0611,2.6215,0.2456,0.2338,0.0194,-1.0
SDSSXCS-586,0.4288,0.0608,2.5858,0.2403,0.2346,0.0194,-0.661
SDSSXCS-593,0.4325,0.0615,2.5609,0.241,0.2373,0.0196,0.485
SDSSXCS-6,0.437,0.0617,2.546,0.238,0.2372,0.0196,0.46
SDSSXCS-64824,0.4268,0.0619,2.5844,0.2447,0.2364,0.0196,0.105
SDSSXCS-65,0.4233,0.061,2.5604,0.2371,0.2345,0.0195,-0.662
SDSSXCS-667,0.4318,0.0617,2.5509,0.239,0.2374,0.0196,0.552
SDSSXCS-68,0.4324,0.0614,2.5507,0.2378,0.2375,0.0196,0.592
SDSSXCS-6955,0.4184,0.0597,2.6323,0.2411,0.2294,0.019,-2.83
SDSSXCS-71,0.4359,0.0617,2.5474,0.2383,0.2375,0.0196,0.58
SDSSXCS-7416,0.4216,0.0612,2.6095,0.2446,0.2345,0.0194,-0.687
SDSSXCS-7432,0.4309,0.0606,2.5797,0.239,0.2345,0.0195,-0.689
SDSSXCS-75,0.4325,0.061,2.5451,0.2365,0.2363,0.0195,0.061
SDSSXCS-765,0.4345,0.0609,2.5616,0.2382,0.2361,0.0195,-0.004
SDSSXCS-7783,0.4335,0.0611,2.5588,0.2396,0.2372,0.0196,0.467
SDSSXCS-78,0.4327,0.0612,2.5504,0.2379,0.2376,0.0197,0.619
SDSSXCS-8060,0.4768,0.0599,2.3803,0.2182,0.2247,0.019,-4.818
SDSSXCS-852,0.4337,0.061,2.5421,0.2368,0.2371,0.0196,0.413
SDSSXCS-890,0.4328,0.0611,2.5442,0.2364,0.237,0.0196,0.369
SDSSXCS-893,0.4301,0.0606,2.538,0.2344,0.2337,0.0194,-1.002
SDSSXCS-9,0.4336,0.0611,2.5598,0.2395,0.2368,0.0196,0.29
SDSSXCS-907,0.4291,0.0614,2.5526,0.2382,0.2366,0.0196,0.219
SDSSXCS-9258,0.4353,0.0634,2.5451,0.2462,0.2374,0.0196,0.542
SDSSXCS-9313,0.4371,0.0615,2.5335,0.239,0.2373,0.0196,0.502
SDSSXCS-944,0.4379,0.0611,2.5239,0.2365,0.2363,0.0196,0.074
SDSSXCS-9803,0.4343,0.0613,2.5608,0.24,0.2365,0.0195,0.157
