dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-41,1.3966,0.0991,3.8609,0.1697,0.1567,0.0137,0.463
SDSSXCS-43,1.3872,0.0987,3.8551,0.1701,0.1571,0.0138,0.763
SDSSXCS-455,1.3875,0.0976,3.8403,0.1689,0.1559,0.0137,-0.038
SDSSXCS-457,1.3884,0.0978,3.856,0.17,0.1569,0.0137,0.622
SDSSXCS-480,1.3947,0.0977,3.8652,0.1693,0.1564,0.0137,0.278
SDSSXCS-487,1.3783,0.0981,3.8474,0.1683,0.1557,0.0137,-0.135
SDSSXCS-5,1.3939,0.0968,3.8795,0.1691,0.1542,0.0136,-1.13
SDSSXCS-5020,1.3897,0.0979,3.8526,0.1695,0.1563,0.0137,0.238
SDSSXCS-51,1.3931,0.0988,3.8602,0.1701,0.1567,0.0137,0.486
SDSSXCS-5159,1.3977,0.0976,3.8312,0.1683,0.1552,0.0135,-0.451
SDSSXCS-5225,1.3893,0.0985,3.8544,0.1699,0.1567,0.0137,0.485
SDSSXCS-55,1.3943,0.0982,3.8629,0.1699,0.1566,0.0137,0.409
SDSSXCS-5527,1.3872,0.098,3.8609,0.1706,0.1566,0.0138,0.425
SDSSXCS-572,1.3916,0.0978,3.8433,0.1699,0.1566,0.0137,0.454
SDSSXCS-574,1.3882,0.098,3.8533,0.1696,0.1569,0.0138,0.604
SDSSXCS-575,1.3917,0.0981,3.8446,0.1701,0.1566,0.0137,0.436
SDSSXCS-5830,1.3661,0.0988,3.8881,0.1718,0.1554,0.0136,-0.311
SDSSXCS-586,1.3866,0.0989,3.8591,0.1713,0.1566,0.0137,0.417
SDSSXCS-593,1.3927,0.099,3.8472,0.1714,0.157,0.0138,0.682
SDSSXCS-6,1.3974,0.098,3.8635,0.1701,0.1561,0.0137,0.129
SDSSXCS-64824,1.3863,0.0992,3.8593,0.1706,0.1566,0.0138,0.458
SDSSXCS-65,1.3722,0.0985,3.849,0.1679,0.1557,0.0137,-0.17
SDSSXCS-667,1.3833,0.0976,3.8449,0.169,0.1562,0.0137,0.16
SDSSXCS-68,1.3886,0.0986,3.857,0.1698,0.157,0.0138,0.716
SDSSXCS-6955,1.3563,0.0978,3.9039,0.1708,0.1537,0.0134,-1.401
SDSSXCS-71,1.3893,0.0983,3.8564,0.17,0.157,0.0138,0.696
SDSSXCS-7416,1.3773,0.0997,3.873,0.172,0.1563,0.0137,0.25
SDSSXCS-7432,1.3786,0.098,3.8773,0.171,0.156,0.0137,0.06
SDSSXCS-75,1.3876,0.098,3.8558,0.1685,0.1562,0.0137,0.177
SDSSXCS-765,1.387,0.0979,3.866,0.1703,0.1563,0.0137,0.247
SDSSXCS-7783,1.3886,0.0982,3.8552,0.1706,0.1571,0.0137,0.747
SDSSXCS-78,1.3885,0.0982,3.8558,0.1695,0.1571,0.0138,0.721
SDSSXCS-8060,1.4084,0.0955,3.8005,0.1635,0.1501,0.0134,-3.719
SDSSXCS-852,1.3878,0.0979,3.8488,0.1695,0.1566,0.0138,0.42
SDSSXCS-890,1.3875,0.0974,3.8393,0.169,0.1557,0.0137,-0.146
SDSSXCS-893,1.3758,0.0976,3.8456,0.1677,0.1553,0.0136,-0.406
SDSSXCS-9,1.3878,0.0978,3.8656,0.1701,0.1563,0.0137,0.255
SDSSXCS-907,1.3817,0.0986,3.8505,0.169,0.1565,0.0137,0.357
SDSSXCS-9258,1.3883,0.0994,3.8567,0.1714,0.1567,0.0137,0.495
SDSSXCS-9313,1.3974,0.0981,3.8356,0.1697,0.1562,0.0137,0.203
SDSSXCS-944,1.3938,0.0975,3.8346,0.168,0.1557,0.0137,-0.172
SDSSXCS-9803,1.3861,0.098,3.8649,0.1711,0.1567,0.0138,0.497
