name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+,lovisari2017_relaxed
SDSSXCS-32,0.0131,0.0029,0.0025,0.1434,0.0084,0.0088,False
SDSSXCS-325,0.0223,0.0031,0.0033,0.1633,0.0081,0.0077,False
SDSSXCS-3312,0.0098,0.0013,0.0014,0.3368,0.0108,0.0113,True
SDSSXCS-34,0.0142,0.0033,0.0031,0.1818,0.0081,0.0111,True
SDSSXCS-35,0.0791,0.0022,0.0013,0.1043,0.0031,0.0022,False
SDSSXCS-35404,0.0218,0.0066,0.0079,0.1777,0.022,0.0242,False
SDSSXCS-3672,0.0103,0.0025,0.0031,0.1348,0.0098,0.0117,False
SDSSXCS-3746,0.0473,0.0015,0.0015,0.2104,0.0043,0.0047,False
SDSSXCS-382,0.0067,0.0012,0.0011,0.2305,0.0058,0.0071,True
SDSSXCS-395,0.0099,0.0016,0.0018,0.1899,0.005,0.0052,True
SDSSXCS-4003,0.0177,0.0011,0.0014,0.3037,0.0057,0.0048,True
SDSSXCS-408,0.0087,0.0002,0.0001,0.3109,0.0008,0.0007,True
SDSSXCS-41,0.0047,0.001,0.0011,0.2347,0.0031,0.005,True
SDSSXCS-4245,0.0266,0.0029,0.0031,0.2317,0.0068,0.0084,False
SDSSXCS-43,0.0073,0.0002,0.0002,0.425,0.0008,0.0006,True
SDSSXCS-4313,0.0446,0.0019,0.0019,0.244,0.0052,0.0058,False
SDSSXCS-455,0.012,0.0021,0.0026,0.3054,0.0079,0.0083,True
SDSSXCS-457,0.0158,0.0013,0.0012,0.1649,0.0037,0.0041,True
SDSSXCS-47,0.0831,0.0033,0.004,0.1994,0.0109,0.0118,False
SDSSXCS-474,0.0264,0.0043,0.0038,0.1284,0.0079,0.0069,False
SDSSXCS-480,0.0046,0.0003,0.0003,0.4813,0.0016,0.0015,True
SDSSXCS-487,0.02,0.0029,0.0031,0.1332,0.0052,0.0055,False
SDSSXCS-5,0.0107,0.0007,0.0007,0.2889,0.0032,0.0033,True
SDSSXCS-5020,0.0137,0.0021,0.0025,0.2297,0.0123,0.0072,True
SDSSXCS-51,0.0083,0.0019,0.0019,0.3034,0.0071,0.0085,True
SDSSXCS-5159,0.0036,0.0007,0.001,0.2906,0.0059,0.0045,True
SDSSXCS-5225,0.005,0.0004,0.0007,0.5161,0.0057,0.0055,True
SDSSXCS-55,0.0247,0.0009,0.001,0.1494,0.0018,0.0024,False
SDSSXCS-5527,0.0116,0.0011,0.0013,0.2712,0.0043,0.0036,True
SDSSXCS-5624,0.0592,0.0107,0.0101,0.0991,0.0178,0.017,False
SDSSXCS-572,0.0016,0.0002,0.0003,0.5072,0.0031,0.0034,True
SDSSXCS-574,0.0145,0.0012,0.0011,0.3508,0.0054,0.0052,True
SDSSXCS-5743,0.0303,0.0056,0.0066,0.1476,0.0147,0.014,False
SDSSXCS-575,0.0266,0.0036,0.0037,0.2148,0.0078,0.0094,False
SDSSXCS-5830,0.04,0.0044,0.003,0.2097,0.0104,0.0118,False
SDSSXCS-586,0.0647,0.0097,0.0117,0.0648,0.0157,0.0209,False
SDSSXCS-58896,0.14,0.0395,0.042,0.0594,0.0288,0.0277,False
SDSSXCS-593,0.0202,0.0019,0.0024,0.1744,0.0044,0.0052,True
SDSSXCS-5939,0.0415,0.0037,0.0033,0.193,0.0104,0.0084,False
SDSSXCS-5977,0.0131,0.004,0.0049,0.1789,0.0185,0.0165,True
SDSSXCS-6,0.0194,0.0018,0.0017,0.181,0.0035,0.0047,True
SDSSXCS-608,0.0316,0.0042,0.006,0.0878,0.0083,0.0089,False
SDSSXCS-617,0.0152,0.0049,0.0056,0.1118,0.0116,0.0129,False
