dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-41,0.7107,0.029,1.6771,0.0852,0.1591,0.0118,0.476
SDSSXCS-43,0.7136,0.0291,1.6753,0.0848,0.159,0.0118,0.401
SDSSXCS-455,0.7122,0.0289,1.6778,0.0854,0.1591,0.0118,0.47
SDSSXCS-457,0.709,0.0285,1.6732,0.084,0.1574,0.0117,-0.635
SDSSXCS-480,0.7125,0.0288,1.6765,0.085,0.1591,0.0118,0.484
SDSSXCS-487,0.7132,0.0289,1.6767,0.0848,0.159,0.0118,0.376
SDSSXCS-5,0.712,0.0288,1.6774,0.0853,0.1592,0.0118,0.528
SDSSXCS-5020,0.7066,0.0281,1.7006,0.0845,0.1548,0.0115,-2.271
SDSSXCS-51,0.7106,0.0289,1.6758,0.0849,0.159,0.0118,0.399
SDSSXCS-5159,0.6906,0.0259,1.7469,0.0801,0.1396,0.0105,-11.86
SDSSXCS-5225,0.7123,0.0288,1.6735,0.0854,0.1591,0.0118,0.46
SDSSXCS-55,0.7115,0.0289,1.6765,0.0852,0.1592,0.0118,0.506
SDSSXCS-5527,0.7106,0.0289,1.6832,0.0859,0.1589,0.0118,0.312
SDSSXCS-572,0.7122,0.0287,1.68,0.0852,0.1588,0.0118,0.272
SDSSXCS-574,0.7119,0.0289,1.6797,0.0854,0.159,0.0118,0.406
SDSSXCS-575,0.7117,0.0288,1.6779,0.0856,0.1592,0.0118,0.506
SDSSXCS-5830,0.7158,0.0293,1.6645,0.0861,0.1585,0.0118,0.11
SDSSXCS-586,0.7209,0.0284,1.6453,0.0827,0.1552,0.0116,-2.0
SDSSXCS-593,0.7113,0.0289,1.679,0.0858,0.1591,0.0118,0.484
SDSSXCS-6,0.7113,0.029,1.6764,0.0849,0.1591,0.0118,0.483
SDSSXCS-64824,0.7194,0.0288,1.6523,0.0842,0.1573,0.0117,-0.696
SDSSXCS-65,0.7119,0.029,1.676,0.0851,0.1592,0.0118,0.503
SDSSXCS-667,0.7144,0.0289,1.6744,0.0847,0.1589,0.0118,0.308
SDSSXCS-68,0.7122,0.029,1.6764,0.0852,0.1592,0.0118,0.499
SDSSXCS-6955,0.7163,0.029,1.6616,0.0853,0.1581,0.0117,-0.147
SDSSXCS-71,0.71,0.0287,1.6742,0.0845,0.1584,0.0118,0.026
SDSSXCS-7416,0.7194,0.0289,1.653,0.0845,0.1573,0.0117,-0.699
SDSSXCS-7432,0.7148,0.0287,1.6632,0.0842,0.1578,0.0117,-0.337
SDSSXCS-75,0.7123,0.0289,1.677,0.085,0.1591,0.0118,0.475
SDSSXCS-765,0.7124,0.0287,1.6684,0.0844,0.158,0.0117,-0.245
SDSSXCS-7783,0.7122,0.0286,1.6807,0.0852,0.1586,0.0118,0.16
SDSSXCS-78,0.7124,0.0288,1.6771,0.085,0.1591,0.0118,0.48
SDSSXCS-8060,0.7021,0.0282,1.7111,0.0856,0.1542,0.0114,-2.613
SDSSXCS-852,0.7119,0.0288,1.6738,0.0853,0.159,0.0118,0.423
SDSSXCS-890,0.7117,0.0288,1.6715,0.0847,0.1586,0.0118,0.129
SDSSXCS-893,0.7143,0.0288,1.6767,0.0848,0.1585,0.0118,0.071
SDSSXCS-9,0.7118,0.0287,1.6739,0.0849,0.159,0.0118,0.39
SDSSXCS-907,0.7114,0.029,1.6767,0.0849,0.1592,0.0118,0.515
SDSSXCS-9258,0.7028,0.0291,1.704,0.0874,0.1573,0.0116,-0.66
SDSSXCS-9313,0.7127,0.029,1.6731,0.0858,0.1591,0.0118,0.456
SDSSXCS-944,0.7116,0.0288,1.6773,0.0858,0.1592,0.0118,0.511
SDSSXCS-9803,0.7126,0.0287,1.6789,0.0851,0.1588,0.0118,0.27
