,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,0.6399,0.0177,0.6609,0.0212,0.0991,0.0079,0.562
1,SDSSXCS-10401,0.6397,0.0181,0.6614,0.0216,0.0991,0.0079,0.555
2,SDSSXCS-110,0.6392,0.0177,0.6606,0.0211,0.0988,0.0079,0.283
3,SDSSXCS-11154,0.6397,0.0178,0.6621,0.0212,0.0991,0.0079,0.55
4,SDSSXCS-1131,0.641,0.0176,0.6581,0.0209,0.0978,0.0078,-0.679
5,SDSSXCS-11331,0.6438,0.0171,0.6627,0.0203,0.0946,0.0076,-3.963
6,SDSSXCS-11881,0.6412,0.0179,0.6593,0.0213,0.0988,0.0079,0.252
7,SDSSXCS-123,0.6394,0.0177,0.6603,0.021,0.0987,0.0079,0.184
8,SDSSXCS-124,0.6389,0.0179,0.6615,0.0212,0.099,0.0079,0.536
9,SDSSXCS-13,0.6385,0.0178,0.6613,0.0211,0.0989,0.0079,0.396
10,SDSSXCS-134,0.6386,0.018,0.6614,0.0212,0.099,0.0079,0.449
11,SDSSXCS-147,0.6389,0.0177,0.6607,0.021,0.0987,0.0079,0.154
12,SDSSXCS-15,0.6431,0.0178,0.6567,0.0211,0.0981,0.0079,-0.449
13,SDSSXCS-155,0.6374,0.0176,0.6607,0.0209,0.0978,0.0078,-0.722
14,SDSSXCS-15984,0.6404,0.0178,0.6617,0.0212,0.099,0.0079,0.525
15,SDSSXCS-1628,0.6425,0.0173,0.6629,0.0207,0.0962,0.0077,-2.332
16,SDSSXCS-16286,0.6405,0.0179,0.6605,0.0213,0.0987,0.0079,0.208
17,SDSSXCS-1645,0.6399,0.0177,0.6601,0.0211,0.0988,0.0079,0.31
18,SDSSXCS-165,0.6394,0.018,0.6618,0.0215,0.099,0.0079,0.531
19,SDSSXCS-176,0.6374,0.0178,0.6649,0.0214,0.0985,0.0079,0.024
20,SDSSXCS-1884,0.639,0.0177,0.6634,0.0212,0.0986,0.0079,0.099
21,SDSSXCS-189,0.6396,0.0179,0.6615,0.0212,0.0991,0.0079,0.556
22,SDSSXCS-19,0.6392,0.0177,0.6612,0.0211,0.099,0.0079,0.501
23,SDSSXCS-2,0.6372,0.018,0.6619,0.0211,0.0988,0.0079,0.253
24,SDSSXCS-2032,0.6414,0.0176,0.6626,0.021,0.0979,0.0079,-0.587
25,SDSSXCS-209,0.6379,0.0178,0.6612,0.021,0.0986,0.0079,0.098
26,SDSSXCS-210,0.6391,0.0177,0.663,0.0213,0.0988,0.0079,0.29
27,SDSSXCS-212,0.6374,0.0177,0.6654,0.0213,0.0982,0.0079,-0.286
28,SDSSXCS-22,0.64,0.0178,0.6616,0.021,0.0991,0.0079,0.575
29,SDSSXCS-226,0.639,0.0178,0.6614,0.0211,0.099,0.008,0.526
30,SDSSXCS-2282,0.6439,0.0177,0.6559,0.0209,0.0977,0.0078,-0.86
31,SDSSXCS-2288,0.645,0.0175,0.661,0.0207,0.0963,0.0078,-2.209
32,SDSSXCS-23,0.6421,0.0174,0.6561,0.0207,0.0968,0.0078,-1.771
33,SDSSXCS-2347,0.6399,0.0178,0.6611,0.0213,0.0991,0.0079,0.55
34,SDSSXCS-236,0.6397,0.0177,0.6606,0.0212,0.0989,0.0079,0.424
35,SDSSXCS-239,0.6406,0.0178,0.6618,0.0212,0.0989,0.0079,0.397
36,SDSSXCS-2789,0.6397,0.0177,0.6616,0.0213,0.0991,0.0079,0.632
37,SDSSXCS-2836,0.6391,0.0174,0.6653,0.0209,0.0968,0.0078,-1.768
38,SDSSXCS-286,0.641,0.0178,0.6615,0.0211,0.0989,0.0079,0.348
39,SDSSXCS-29,0.6382,0.0181,0.6619,0.0212,0.099,0.0079,0.495
40,SDSSXCS-290,0.6404,0.0177,0.6622,0.0211,0.0988,0.0079,0.254
41,SDSSXCS-298,0.6394,0.0177,0.661,0.021,0.099,0.008,0.468
42,SDSSXCS-309,0.6392,0.0176,0.6598,0.021,0.0984,0.0079,-0.168
43,SDSSXCS-31,0.6367,0.0179,0.6619,0.021,0.0985,0.0079,-0.063
44,SDSSXCS-314,0.6399,0.0177,0.6602,0.0211,0.0988,0.0079,0.308
45,SDSSXCS-32,0.6382,0.018,0.6634,0.0216,0.099,0.0079,0.467
46,SDSSXCS-325,0.6427,0.0175,0.6562,0.0208,0.0973,0.0078,-1.26
47,SDSSXCS-3312,0.6401,0.0178,0.6604,0.0212,0.099,0.0079,0.48
48,SDSSXCS-34,0.6402,0.0177,0.6603,0.0211,0.0989,0.0079,0.368
49,SDSSXCS-3672,0.64,0.0177,0.6608,0.0212,0.099,0.0079,0.479
50,SDSSXCS-382,0.6388,0.0178,0.6628,0.0213,0.099,0.0079,0.511
51,SDSSXCS-395,0.6395,0.0177,0.661,0.0211,0.099,0.0079,0.496
52,SDSSXCS-4003,0.639,0.0177,0.6631,0.0212,0.0989,0.0079,0.38
53,SDSSXCS-41,0.6388,0.0179,0.6615,0.0211,0.099,0.0079,0.479
54,SDSSXCS-455,0.6399,0.0177,0.662,0.0212,0.099,0.0079,0.512
55,SDSSXCS-457,0.6383,0.0176,0.6601,0.0208,0.0979,0.0078,-0.578
56,SDSSXCS-487,0.6387,0.0178,0.661,0.0211,0.0987,0.0079,0.218
57,SDSSXCS-5,0.6399,0.0178,0.6619,0.0212,0.099,0.0079,0.534
58,SDSSXCS-5020,0.6379,0.0177,0.6648,0.0213,0.0983,0.0079,-0.194
59,SDSSXCS-51,0.639,0.0178,0.6613,0.0211,0.099,0.0079,0.47
60,SDSSXCS-5159,0.6288,0.0174,0.6745,0.0211,0.0944,0.0076,-4.223
61,SDSSXCS-5225,0.6395,0.0176,0.6638,0.0211,0.0982,0.0079,-0.339
62,SDSSXCS-55,0.6389,0.0178,0.661,0.0211,0.0989,0.0079,0.351
63,SDSSXCS-5527,0.6388,0.0177,0.6633,0.0213,0.0989,0.0079,0.4
64,SDSSXCS-572,0.6422,0.0174,0.6627,0.0207,0.097,0.0078,-1.542
65,SDSSXCS-574,0.6398,0.0177,0.6621,0.0212,0.099,0.0079,0.51
66,SDSSXCS-575,0.6397,0.0177,0.6615,0.0212,0.0991,0.0079,0.565
67,SDSSXCS-5830,0.6397,0.018,0.6615,0.0215,0.099,0.0079,0.502
68,SDSSXCS-586,0.6409,0.0178,0.6597,0.0212,0.0987,0.0079,0.206
69,SDSSXCS-593,0.6388,0.0178,0.6633,0.0213,0.0989,0.0079,0.356
70,SDSSXCS-6,0.6392,0.0179,0.6615,0.0211,0.0991,0.008,0.585
71,SDSSXCS-64824,0.6397,0.0179,0.6615,0.0214,0.099,0.0079,0.512
72,SDSSXCS-65,0.6396,0.0181,0.6614,0.0212,0.0991,0.0079,0.589
73,SDSSXCS-68,0.6389,0.0179,0.6615,0.0211,0.099,0.0079,0.521
