,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
74,SDSSXCS-6955,0.6416,0.0178,0.6587,0.0211,0.0985,0.0079,0.023
75,SDSSXCS-71,0.6391,0.0177,0.6603,0.021,0.0985,0.0079,0.027
76,SDSSXCS-7416,0.6413,0.018,0.6596,0.0215,0.0988,0.0079,0.298
77,SDSSXCS-7432,0.6404,0.0177,0.6597,0.0211,0.0987,0.0079,0.232
78,SDSSXCS-75,0.6392,0.0177,0.6608,0.021,0.0988,0.0079,0.254
79,SDSSXCS-765,0.6399,0.0176,0.6595,0.021,0.0983,0.0079,-0.175
80,SDSSXCS-7783,0.6417,0.0174,0.6633,0.0207,0.0968,0.0078,-1.777
81,SDSSXCS-78,0.6409,0.0178,0.6617,0.021,0.0989,0.0079,0.369
82,SDSSXCS-8060,0.6379,0.0179,0.6639,0.0215,0.0989,0.0079,0.382
83,SDSSXCS-890,0.6394,0.0177,0.6603,0.021,0.0987,0.0079,0.185
84,SDSSXCS-893,0.6399,0.0177,0.6617,0.0211,0.099,0.0079,0.472
85,SDSSXCS-9,0.6396,0.0177,0.6614,0.0211,0.099,0.0079,0.495
86,SDSSXCS-907,0.6384,0.0178,0.6616,0.0211,0.0989,0.0079,0.394
87,SDSSXCS-9258,0.6355,0.0181,0.6665,0.0216,0.0985,0.0079,-0.036
88,SDSSXCS-9313,0.6418,0.0179,0.6584,0.0212,0.0987,0.0079,0.139
89,SDSSXCS-944,0.6414,0.0178,0.6587,0.0212,0.0986,0.0079,0.096
90,SDSSXCS-9803,0.6441,0.0173,0.662,0.0204,0.0958,0.0077,-2.777
