name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-176,176,204.2036,10.44001,204.20577641853038,10.440019004466864,0.1569,758.528,26.612,26.683,82.686,3.731,XMMXCS J133648.8+102624.0,0.96269023,Y,
SDSSXCS-3672,3672,208.30907,11.58703,208.30941531279169,11.589184580274381,0.3359,749.023,33.912,41.072,49.918,3.83,XMMXCS J135314.1+113513.2,0.87026656,,Y
SDSSXCS-43,43,210.25825,2.87733,210.2521998905589,2.8638091045806404,0.2571,1140.596,16.704,16.704,134.279,5.206,XMMXCS J140101.9+025238.3,1.0607213,Y,
SDSSXCS-32,32,213.60638,-0.37802,213.60024185108853,-0.3776437738556696,0.1379,746.382,57.934,66.165,105.126,3.757,XMMXCS J141425.5-002240.8,1.0100485000000001,Y,
SDSSXCS-16286,16286,213.89545,28.39348,213.88993403394798,28.39712189323617,0.2374,573.696,59.099,109.352,21.468,2.032,XMMXCS J141534.9+282336.5,0.7351199,,Y
SDSSXCS-5527,5527,214.11563,23.25654,214.11405883096646,23.256258081349298,0.1382,884.726,18.356,18.395,31.719,2.453,XMMXCS J141627.7+231523.5,0.79481256,Y,
SDSSXCS-4313,4313,214.63388,25.18481,214.62784000346718,25.181415985028067,0.3122,916.08,47.27,48.126,45.51,3.685,XMMXCS J141832.1+251105.3,0.8543208000000001,,Y
SDSSXCS-574,574,216.33945,63.19533,216.3384068864375,63.15595365949443,0.1385,1022.522,18.074,18.091,57.363,2.836,XMMXCS J142521.4+631143.1,0.89480054,Y,
SDSSXCS-65,65,216.50433,37.82695,216.48611808736808,37.816455587135216,0.1705,1382.881,25.349,26.765,103.341,4.011,XMMXCS J142601.0+374937.0,1.0065953,Y,
SDSSXCS-165,165,217.61219,24.59923,217.60998832428777,24.61980382359407,0.1374,804.828,40.308,39.779,78.323,3.126,XMMXCS J143026.9+243557.2,0.95230955,Y,
SDSSXCS-4003,4003,217.95843,13.53321,217.9586905311813,13.5347061214331,0.1631,832.778,20.964,20.061,32.863,2.229,XMMXCS J143150.0+133159.5,0.8004654,Y,
SDSSXCS-2836,2836,220.58255,22.30275,220.59499373138593,22.31866845059584,0.1051,842.045,15.342,22.333,30.758,1.953,XMMXCS J144219.8+221809.9,0.7899366999999999,Y,
SDSSXCS-210,210,223.05155,37.88059,223.05448193839214,37.881090670959146,0.2869,702.519,53.831,65.047,101.923,4.485,XMMXCS J145212.3+375250.1,1.0038161,Y,
SDSSXCS-2288,2288,224.3126,22.34233,224.31294861563669,22.34288650962688,0.2698,913.425,13.595,13.604,54.922,3.515,XMMXCS J145715.0+222032.3,0.8870528,Y,
SDSSXCS-78,78,225.08192,21.37071,225.0813242549216,21.36941389251641,0.1598,1231.208,23.388,23.385,91.824,3.597,XMMXCS J150019.6+212214.5,0.98308516,Y,
SDSSXCS-55,55,227.55039,33.51614,227.5488032387406,33.486467734774344,0.1192,1237.593,20.056,20.054,99.802,3.735,XMMXCS J151012.0+333058.0,0.9996041999999999,Y,
SDSSXCS-137,137,228.81739,4.38154,228.80879769402281,4.386217797780727,0.1022,860.822,18.03,18.047,75.73,2.898,XMMXCS J151516.1+042253.5,0.94591796,,Y
SDSSXCS-123,123,229.07719,0.09234,229.0747089324091,0.08905299063235456,0.1206,1017.252,16.173,16.185,77.881,3.743,XMMXCS J151618.5+000532.4,0.9512313,Y,
SDSSXCS-382,382,229.34049,-0.71536,229.341131234424,-0.7156469301967044,0.1108,876.521,19.837,26.075,58.126,2.955,XMMXCS J151721.7-004255.2,0.8971676,Y,
SDSSXCS-2282,2282,232.97661,7.3649,232.95978586642534,7.342734263874212,0.1862,868.425,31.003,30.675,35.579,2.669,XMMXCS J153154.3+072153.6,0.81327665,,Y
SDSSXCS-5624,5624,233.76379,1.34296,233.74531639001052,1.339972906816031,0.3053,743.706,48.367,51.37,39.896,3.205,XMMXCS J153503.3+012034.6,0.8321197,Y,
SDSSXCS-19,19,234.92088,34.42023,234.91872006377525,34.42424626568081,0.2338,1221.721,31.422,31.37,151.486,5.161,XMMXCS J153941.0+342512.8,1.0866121000000002,Y,
SDSSXCS-3312,3312,246.67607,42.67131,246.6771899957021,42.66993375079669,0.1871,837.743,34.34,34.516,41.284,3.085,XMMXCS J162642.2+424016.7,0.83783156,,Y
SDSSXCS-575,575,249.90358,47.05279,249.9082825030509,47.05288370397957,0.2264,855.347,31.369,31.473,61.787,3.421,XMMXCS J163936.8+470310.0,0.90819526,Y,
SDSSXCS-2,2,250.08451,46.70753,250.08254838650882,46.711531353604364,0.2328,1503.984,34.288,34.269,199.539,5.3,XMMXCS J164020.2+464227.1,1.1481687,Y,
SDSSXCS-30950,30950,251.92973,34.93606,251.9481502365833,34.92015798499534,0.2499,556.325,36.513,42.456,21.559,3.838,XMMXCS J164743.1+345609.7,0.73574567,,Y
SDSSXCS-480,480,260.04102,26.62384,260.0137952030571,26.644378406483444,0.1654,1153.892,16.863,16.863,63.724,3.965,XMMXCS J172009.8+263725.8,0.91382056,Y,
SDSSXCS-14,14,260.61258,32.1328,260.61325903724463,32.1325684169872,0.2293,1233.224,21.481,21.482,179.952,7.034,XMMXCS J172227.0+320758.0,1.124686,Y,
SDSSXCS-1137,1137,322.4157,0.08804,322.41646468399864,0.08920889296508036,0.2472,1010.833,14.522,14.527,60.978,4.102,XMMXCS J212939.7+000516.9,0.9058059000000002,Y,
SDSSXCS-487,487,323.7992,-1.04947,323.800857239922,-1.0488416343798814,0.3339,1103.195,64.69,75.572,124.622,9.576,XMMXCS J213511.8-010258.0,1.0450065,Y,
SDSSXCS-155,155,323.82011,1.43334,323.82824033521615,1.4241695378190495,0.2345,1337.031,31.278,40.52,108.513,5.124,XMMXCS J213516.8+012600.0,1.0164739,Y,
SDSSXCS-2032,2032,327.75454,-7.60931,327.75317838812236,-7.608665580795388,0.2816,853.759,15.76,15.81,59.636,4.672,XMMXCS J215101.0-073633.5,0.90178204,Y,
SDSSXCS-10223,10223,327.85131,-5.45,327.8456773821018,-5.447873927045175,0.1402,746.039,26.739,36.742,20.049,1.96,XMMXCS J215124.3-052659.9,0.7251363000000001,,Y
SDSSXCS-29,29,328.40419,17.69637,328.40346216887644,17.695479228752124,0.2506,1456.24,32.462,32.463,145.842,6.23,XMMXCS J215337.0+174146.9,1.0783913,Y,
SDSSXCS-110,110,336.52107,17.37229,336.5092849539111,17.379739277262658,0.1136,1172.594,17.805,17.804,74.281,2.668,XMMXCS J222605.0+172220.2,0.9422696,Y,
SDSSXCS-913,913,339.91421,-5.72414,339.91865243294814,-5.7240125289017785,0.2586,699.247,34.356,46.015,62.153,3.974,XMMXCS J223939.4-054326.9,0.90926903,,Y
SDSSXCS-62,62,340.47773,17.53801,340.492031496632,17.551036322700483,0.3235,1048.642,34.123,34.281,126.3,5.017,XMMXCS J224154.6+173216.8,1.0478058000000001,Y,
SDSSXCS-236,236,344.22031,5.50285,344.27564095724586,5.563752660712536,0.1755,1058.801,21.848,29.789,69.826,3.247,XMMXCS J225652.8+053010.2,0.9306870999999999,Y,
SDSSXCS-765,765,344.53239,20.91211,344.46217707085486,20.940815323786712,0.3127,782.249,46.555,58.355,31.918,3.489,XMMXCS J225807.7+205443.6,0.79580396,,Y
SDSSXCS-51,51,347.09113,-2.19096,347.0926165444992,-2.192174723098411,0.3081,1249.279,38.08,38.144,137.757,5.25,XMMXCS J230821.8-021127.4,1.0661603000000002,Y,
SDSSXCS-41,41,347.8862,3.63332,347.8917423292212,3.6030650951529175,0.3047,1197.897,24.435,24.433,166.207,6.238,XMMXCS J231132.6+033759.9,0.7250259,Y,
SDSSXCS-34,34,347.95361,3.67966,347.94853803888344,3.685453931481794,0.3007,814.707,27.739,28.033,20.034,3.874,XMMXCS J231148.8+034046.7,1.1069548999999999,Y,
